Index,Before,After,Bit,Diff
387287,153,152,0,-1
767132,209,208,0,-1
611149,27,26,0,-1
490815,125,124,0,-1
553040,191,190,0,-1
313548,59,58,0,-1
502354,85,84,0,-1
477762,71,70,0,-1
663289,115,114,0,-1
256489,203,202,0,-1
90696,113,112,0,-1
405650,239,238,0,-1
523737,127,126,0,-1
407410,81,80,0,-1
159189,165,164,0,-1
282543,159,158,0,-1
428168,103,102,0,-1
415986,125,124,0,-1
776924,251,250,0,-1
297629,211,210,0,-1
382582,151,150,0,-1
439990,15,14,0,-1
685213,137,136,0,-1
76363,213,212,0,-1
735806,227,226,0,-1
729050,185,184,0,-1
184867,41,40,0,-1
435047,189,188,0,-1
466959,83,82,0,-1
415561,137,136,0,-1
282319,131,130,0,-1
263289,57,56,0,-1
282724,123,122,0,-1
506585,103,102,0,-1
405357,123,122,0,-1
326205,59,58,0,-1
622568,187,186,0,-1
366566,205,204,0,-1
377964,117,116,0,-1
781372,133,132,0,-1
615759,61,60,0,-1
567856,185,184,0,-1
232206,89,88,0,-1
297320,219,218,0,-1
295170,103,102,0,-1
522674,227,226,0,-1
454076,235,234,0,-1
576451,79,78,0,-1
268087,125,124,0,-1
620344,21,20,0,-1
758633,187,186,0,-1
151806,111,110,0,-1
611058,69,68,0,-1
41411,151,150,0,-1
431087,245,244,0,-1
697415,213,212,0,-1
114241,37,36,0,-1
315340,17,16,0,-1
284969,227,226,0,-1
183181,57,56,0,-1
714500,181,180,0,-1
218367,83,82,0,-1
292219,101,100,0,-1
425281,143,142,0,-1
528742,215,214,0,-1
581864,155,154,0,-1
246244,205,204,0,-1
499724,187,186,0,-1
766474,127,126,0,-1
781910,221,220,0,-1
148970,157,156,0,-1
281704,49,48,0,-1
693916,117,116,0,-1
248766,165,164,0,-1
318960,111,110,0,-1
564678,171,170,0,-1
38105,147,146,0,-1
682129,141,140,0,-1
773796,109,108,0,-1
451152,81,80,0,-1
712718,231,230,0,-1
576948,189,188,0,-1
157319,97,96,0,-1
179790,73,72,0,-1
532972,137,136,0,-1
709208,225,224,0,-1
42946,83,82,0,-1
468475,137,136,0,-1
663556,143,142,0,-1
119437,129,128,0,-1
777940,101,100,0,-1
764531,225,224,0,-1
711271,127,126,0,-1
241122,171,170,0,-1
708929,199,198,0,-1
348845,233,232,0,-1
770310,97,96,0,-1
76283,231,230,0,-1
683832,75,74,0,-1
556,55,54,0,-1
522772,119,118,0,-1
390521,223,222,0,-1
136657,59,58,0,-1
770529,105,104,0,-1
15115,81,80,0,-1
341068,29,28,0,-1
639285,85,84,0,-1
699438,117,116,0,-1
410909,169,168,0,-1
231497,115,114,0,-1
247769,219,218,0,-1
610911,57,56,0,-1
599188,139,138,0,-1
254842,205,204,0,-1
283278,93,92,0,-1
739798,71,70,0,-1
695728,27,26,0,-1
61044,89,88,0,-1
324899,233,232,0,-1
202716,141,140,0,-1
783233,193,192,0,-1
670492,175,174,0,-1
